gender,age,membership_tier,province,customer_age_days,category,brand,product_rating,courier_name,courier_type,avg_delivery_days,damage_rate,promo_name,promo_type,promo_discount_rate,channel_type,payment_method,quantity,unit_price,tier_discount_pct,campaign_discount_pct,total_discount_pct,discount_applied_amount,total_amount,delivery_time_expected_days,is_repurchased_item,order_hour,days_since_last_order,hist_order_count,hist_return_rate,customer_tenure_months,order_month,order_dayofweek,is_weekend,age_group,logistics_risk,hist_order_count_30d,hist_return_count_30d,hist_return_rate_30d,hist_spend_sum_30d,hist_order_count_60d,hist_return_count_60d,hist_return_rate_60d,hist_spend_sum_60d,hist_order_count_90d,hist_return_count_90d,hist_return_rate_90d,hist_spend_sum_90d,hist_order_count_180d,hist_return_count_180d,hist_return_rate_180d,hist_spend_sum_180d,hist_order_count_365d,hist_return_count_365d,hist_return_rate_365d,hist_spend_sum_365d,discount_amount_ratio,category_payment,category_channel,province_payment,is_returned,dataset_split
Male,64,Silver,Chonburi,640,Cosmetics,SunSafe,4.5,EcoDelivery,Eco,5.0,0.05,No Promotion,,0.0,Shopee,Credit_Card,2,650.0,0.1,0.0,0.1,130.0,1170.0,2,0,7,-1,0,0.0,4.566666666666666,1,3,0,>50,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.1,Cosmetics_Credit_Card,Cosmetics_Shopee,Chonburi_Credit_Card,0,full_feature_frame
Male,25,Silver,Remote_Area,1118,Home_Appliance,HomePro,4.1,EcoDelivery,Eco,5.0,0.05,No Promotion,,0.0,TikTok,COD,2,2200.0,0.1,0.0,0.1,440.0,3960.0,1,0,11,-1,0,0.0,20.5,1,3,0,20-30,0.05,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.1,Home_Appliance_COD,Home_Appliance_TikTok,Remote_Area_COD,0,full_feature_frame
Male,66,Bronze,Chonburi,2245,Fashion,SilkTouch,3.5,SafeLogistics,Standard,3.0,0.02,No Promotion,,0.0,TV_Show,Bank_Transfer,1,2500.0,0.05,0.0,0.05,125.0,2375.0,1,0,19,-1,0,0.0,58.06666666666667,1,3,0,>50,0.02,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.05,Fashion_Bank_Transfer,Fashion_TV_Show,Chonburi_Bank_Transfer,1,full_feature_frame
Other,64,Bronze,Nonthaburi,1396,Fashion,DenimCo,4.2,SafeLogistics,Standard,3.0,0.02,No Promotion,,0.0,TikTok,Bank_Transfer,1,890.0,0.05,0.0,0.05,44.5,845.5,1,0,22,-1,0,0.0,29.766666666666666,1,3,0,>50,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.05,Fashion_Bank_Transfer,Fashion_TikTok,Nonthaburi_Bank_Transfer,0,full_feature_frame
Male,60,Silver,Nonthaburi,1194,Electronics,SoundMax,4.0,SafeLogistics,Standard,3.0,0.02,No Promotion,,0.0,Mobile_App,COD,2,1200.0,0.1,0.0,0.1,240.0,2160.0,3,0,10,-1,0,0.0,23.066666666666666,1,4,0,>50,0.02,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.1,Electronics_COD,Electronics_Mobile_App,Nonthaburi_COD,0,full_feature_frame
Female,64,Platinum,Nonthaburi,1307,Supplement,VitaBoost,3.7,FastShip,Express,1.5,0.01,New Year Mega Sale,Campaign,0.1,TikTok,COD,1,890.0,0.2,0.1,0.3,267.0,623.0,3,0,14,-1,0,0.0,26.833333333333332,1,4,0,>50,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.3,Supplement_COD,Supplement_TikTok,Nonthaburi_COD,0,full_feature_frame
Female,66,Gold,Remote_Area,1416,Home_Appliance,BlendIt,3.9,EcoDelivery,Eco,5.0,0.05,New Year Mega Sale,Campaign,0.1,Mobile_App,Bank_Transfer,2,1100.0,0.15,0.1,0.25,550.0,1650.0,1,0,14,-1,0,0.0,30.466666666666665,1,4,0,>50,0.05,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.25,Home_Appliance_Bank_Transfer,Home_Appliance_Mobile_App,Remote_Area_Bank_Transfer,0,full_feature_frame
Female,67,Bronze,Bangkok,785,Home_Appliance,BlendIt,3.9,EcoDelivery,Eco,5.0,0.05,New Year Mega Sale,Campaign,0.1,TikTok,Credit_Card,1,1100.0,0.05,0.1,0.15,165.0,935.0,1,0,18,-1,0,0.0,9.433333333333334,1,4,0,>50,0.05,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.15,Home_Appliance_Credit_Card,Home_Appliance_TikTok,Bangkok_Credit_Card,0,full_feature_frame
Male,67,Silver,Khon Kaen,1019,Cosmetics,AromaX,4.8,EcoDelivery,Eco,5.0,0.05,New Year Mega Sale,Campaign,0.1,TV_Show,Credit_Card,2,2800.0,0.1,0.1,0.2,1120.0,4480.0,2,0,20,2,1,0.0,17.233333333333334,1,4,0,>50,0.05,1,0,0.0,405.0,1,0,0.0,405.0,1,0,0.0,405.0,1,0,0.0,405.0,1,0,0.0,405.0,0.2,Cosmetics_Credit_Card,Cosmetics_TV_Show,Khon Kaen_Credit_Card,0,full_feature_frame
Female,59,Gold,Chonburi,2047,Home_Appliance,BlendIt,3.9,FastShip,Express,1.5,0.01,No Promotion,,0.0,TikTok,COD,2,1100.0,0.15,0.0,0.15,330.0,1870.0,3,0,23,-1,0,0.0,51.5,1,4,0,>50,0.01,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.15,Home_Appliance_COD,Home_Appliance_TikTok,Chonburi_COD,0,full_feature_frame
Female,65,Bronze,Chiang Mai,1070,Supplement,OmegaPlus,4.6,FastShip,Express,1.5,0.01,No Promotion,,0.0,Mobile_App,Bank_Transfer,1,750.0,0.05,0.0,0.05,37.5,712.5,1,0,6,-1,0,0.0,18.966666666666665,1,5,1,>50,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.05,Supplement_Bank_Transfer,Supplement_Mobile_App,Chiang Mai_Bank_Transfer,0,full_feature_frame
Male,22,Bronze,Chiang Mai,1582,Fashion,UniStyle,4.5,FastShip,Express,1.5,0.01,No Promotion,,0.0,TV_Show,Bank_Transfer,1,290.0,0.05,0.0,0.05,14.5,275.5,2,0,8,-1,0,0.0,36.03333333333333,1,5,1,20-30,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.05,Fashion_Bank_Transfer,Fashion_TV_Show,Chiang Mai_Bank_Transfer,0,full_feature_frame
Female,43,Gold,Chonburi,900,Supplement,VitaBoost,3.7,FastShip,Express,1.5,0.01,No Promotion,,0.0,TV_Show,COD,2,890.0,0.15,0.0,0.15,267.0,1513.0,3,0,8,-1,0,0.0,13.3,1,5,1,40-50,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.15,Supplement_COD,Supplement_TV_Show,Chonburi_COD,1,full_feature_frame
Female,59,Bronze,Songkhla,1562,Supplement,VitaBoost,3.7,EcoDelivery,Eco,5.0,0.05,No Promotion,,0.0,Mobile_App,COD,2,890.0,0.05,0.0,0.05,89.0,1691.0,2,0,11,-1,0,0.0,35.36666666666667,1,5,1,>50,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.05,Supplement_COD,Supplement_Mobile_App,Songkhla_COD,1,full_feature_frame
Female,39,Gold,Chonburi,1510,Home_Appliance,BlendIt,3.9,SafeLogistics,Standard,3.0,0.02,New Year Mega Sale,Campaign,0.1,TV_Show,Bank_Transfer,2,1100.0,0.15,0.1,0.25,550.0,1650.0,3,0,15,-1,0,0.0,33.63333333333333,1,5,1,30-40,0.02,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.25,Home_Appliance_Bank_Transfer,Home_Appliance_TV_Show,Chonburi_Bank_Transfer,0,full_feature_frame
Female,65,Bronze,Chiang Mai,1070,Fashion,DenimCo,4.2,SafeLogistics,Standard,3.0,0.02,No Promotion,,0.0,TikTok,Credit_Card,1,890.0,0.05,0.0,0.05,44.5,845.5,2,0,19,0,1,0.0,18.966666666666665,1,5,1,>50,0.0,1,0,0.0,712.5,1,0,0.0,712.5,1,0,0.0,712.5,1,0,0.0,712.5,1,0,0.0,712.5,0.05,Fashion_Credit_Card,Fashion_TikTok,Chiang Mai_Credit_Card,0,full_feature_frame
Female,54,Silver,Remote_Area,1878,Home_Appliance,HomePro,4.1,EcoDelivery,Eco,5.0,0.05,No Promotion,,0.0,TV_Show,Credit_Card,2,2200.0,0.1,0.0,0.1,440.0,3960.0,1,0,21,-1,0,0.0,45.9,1,5,1,>50,0.05,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.1,Home_Appliance_Credit_Card,Home_Appliance_TV_Show,Remote_Area_Credit_Card,0,full_feature_frame
Other,61,Platinum,Remote_Area,2083,Electronics,BoomBox,3.8,FastShip,Express,1.5,0.01,No Promotion,,0.0,Shopee,Bank_Transfer,2,990.0,0.2,0.0,0.2,396.0,1584.0,3,0,21,-1,0,0.0,52.733333333333334,1,5,1,>50,0.01,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.2,Electronics_Bank_Transfer,Electronics_Shopee,Remote_Area_Bank_Transfer,0,full_feature_frame
Male,22,Gold,Remote_Area,1004,Home_Appliance,BlendIt,3.9,FastShip,Express,1.5,0.01,No Promotion,,0.0,Mobile_App,COD,1,1100.0,0.15,0.0,0.15,165.0,935.0,1,0,21,-1,0,0.0,16.766666666666666,1,5,1,20-30,0.01,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.15,Home_Appliance_COD,Home_Appliance_Mobile_App,Remote_Area_COD,0,full_feature_frame
Female,20,Bronze,Bangkok,1786,Supplement,VitaBoost,3.7,EcoDelivery,Eco,5.0,0.05,No Promotion,,0.0,Mobile_App,Bank_Transfer,1,890.0,0.05,0.0,0.05,44.5,845.5,1,0,1,-1,0,0.0,42.86666666666667,1,6,1,<20,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.05,Supplement_Bank_Transfer,Supplement_Mobile_App,Bangkok_Bank_Transfer,1,full_feature_frame
